"Experiment","Test","groupA","groupB","Statistic","df","padjval","effsize"
1,"t","go","1 samp v zero",26.200453563555,19,6.7139794077163e-16,-5.85859952094356
1,"t","stop","1 samp v zero",9.19738733694159,19,2.98514649146941e-08,-2.05659833007971
1,"t","go","stop",2.0670672827711,19,0.0526274509588832,0.583125913325923
2,"wilcox","go","1 samp v zero",1272,NA,2.805e-09,0.866206559167627
2,"wilcox","stop","1 samp v zero",1188,NA,1.65e-07,0.751531459135979
2,"wilcox","go","stop",656,NA,0.862,0.0252558256022082
3,"wilcox","go","1 samp v zero",1212,NA,9.03e-08,0.784295773430736
3,"wilcox","stop","1 samp v zero",1020,NA,3.39e-06,0.639534861480609
3,"wilcox","go","stop",645,NA,0.566,0.0843830720009137
4,"t","stop","1 samp v zero",7.86851786706763,46,4.62419517537921e-10,-1.14774129178085
5,"wilcox","stop","1 samp v zero",1490,NA,5.05e-06,0.594510977236833
